 cookie=0x0, duration=784.397s, table=4, n_packets=0, n_bytes=0, priority=10,ip,reg1=0x1,nw_dst=172.17.0.1 actions=drop
 cookie=0x0, duration=784.413s, table=4, n_packets=0, n_bytes=0, priority=10,ip,reg1=0x1,nw_dst=127.0.0.0/8 actions=drop
 cookie=0x0, duration=784.397s, table=4, n_packets=0, n_bytes=0, priority=10,ipv6,reg1=0x1,ipv6_dst=::1 actions=drop
 cookie=0x0, duration=784.397s, table=4, n_packets=0, n_bytes=0, priority=10,ipv6,reg1=0x1,ipv6_dst=2804:d51:a480:ca00:5054:ff:fe3d:8a actions=drop
 cookie=0x0, duration=784.397s, table=4, n_packets=0, n_bytes=0, priority=10,ipv6,reg1=0x1,ipv6_dst=fe80::5054:ff:fe3d:8a actions=drop
 cookie=0x0, duration=784.397s, table=4, n_packets=0, n_bytes=0, priority=10,ipv6,reg1=0x1,ipv6_dst=fe80::f87f:9eff:fe8d:5268 actions=drop
 cookie=0x0, duration=784.397s, table=4, n_packets=0, n_bytes=0, priority=10,ipv6,reg1=0x1,ipv6_dst=fe80::b640:42da:ec2d:7993 actions=drop
 cookie=0x0, duration=784.397s, table=4, n_packets=0, n_bytes=0, priority=10,ipv6,reg1=0x1,ipv6_dst=fe80::687c:77ff:fe5e:6e04 actions=drop
 cookie=0x0, duration=784.397s, table=4, n_packets=0, n_bytes=0, priority=10,ipv6,reg1=0x1,ipv6_dst=fe80::c0ea:5eff:fec7:4325 actions=drop
 cookie=0x0, duration=784.397s, table=4, n_packets=0, n_bytes=0, priority=10,ipv6,reg1=0x1,ipv6_dst=fe80::ecc1:e3ff:fe88:c642 actions=drop
 cookie=0x0, duration=784.397s, table=4, n_packets=0, n_bytes=0, priority=10,ipv6,reg1=0x1,ipv6_dst=fe80::3807:a1ff:febc:3edc actions=drop
 cookie=0x0, duration=784.394s, table=4, n_packets=0, n_bytes=0, priority=10,ipv6,reg1=0x1,ipv6_dst=fe80::447a:80ff:feaa:47a1 actions=drop
 cookie=0x0, duration=784.394s, table=4, n_packets=0, n_bytes=0, priority=10,ipv6,reg1=0x1,ipv6_dst=fe80::2c82:dcff:fee6:7b67 actions=drop
 cookie=0x0, duration=784.394s, table=4, n_packets=0, n_bytes=0, priority=10,ipv6,reg1=0x1,ipv6_dst=fe80::3c42:75ff:fe0f:34b3 actions=drop
 cookie=0x0, duration=784.413s, table=4, n_packets=0, n_bytes=0, priority=0,reg1=0x10 actions=resubmit(,5),set_field:0->reg0,set_field:0->reg3
 cookie=0x0, duration=784.413s, table=4, n_packets=0, n_bytes=0, priority=0,reg1=0x1 actions=resubmit(,21),set_field:0->reg0,set_field:0->reg3
 cookie=0x0, duration=784.413s, table=5, n_packets=0, n_bytes=0, priority=1,in_port="proxy_port" actions=drop
 cookie=0x0, duration=784.413s, table=5, n_packets=198, n_bytes=16370, priority=0 actions=resubmit(,10),set_field:0->reg0,set_field:0->reg3
 cookie=0x0, duration=113514.813s, table=10, n_packets=0, n_bytes=0, priority=15,reg6=0x1 actions=resubmit(,20),set_field:0->reg0,set_field:0->reg3
 cookie=0x0, duration=113514.813s, table=10, n_packets=0, n_bytes=0, priority=12,ip,reg1=0x1,vlan_tci=0x0000/0x1000,nw_dst=10.1.0.1 actions=set_field:c2:ea:5e:c7:43:25->eth_dst,output:mtr0
 cookie=0x0, duration=113514.813s, table=10, n_packets=0, n_bytes=0, priority=12,ip,reg1=0x1,vlan_tci=0x1000/0x1000,nw_dst=10.1.0.1 actions=pop_vlan,set_field:c2:ea:5e:c7:43:25->eth_dst,output:mtr0
 cookie=0x0, duration=113514.813s, table=10, n_packets=198, n_bytes=16370, priority=10 actions=resubmit(,11),set_field:0->reg0,set_field:0->reg3
 cookie=0x0, duration=113514.818s, table=11, n_packets=198, n_bytes=16370, priority=0 actions=resubmit(,12),set_field:0->reg0,set_field:0->reg3
 cookie=0x1, duration=782.227s, table=12, n_packets=0, n_bytes=0, priority=5,ipv6,reg1=0x1,metadata=0x7594587a00d,ipv6_src=fd6c:808c:2ea3:1f9::/64 actions=note:61.6c.6c.6f.77.6c.69.73.74.5f.73.69.64.2d.49.4d.53.49.30.30.31.30.31.30.30.30.30.30.30.30.30.30.31.2d.69.6e.74.65.72.6e.65.74.00.00.00.00,set_field:0x3->pkt_mark,set_field:0x1->reg2,set_field:0x1->reg4,set_field:0x80000007->reg11,resubmit(,13),resubmit(,20)
